ECG,time
1872,2023-09-14 00:03:24.654000000
1299,2023-09-14 00:03:24.651000000
1911,2023-09-14 00:03:24.640000000
2679,2023-09-14 00:03:24.617000000
1407,2023-09-14 00:03:24.612000000
2084,2023-09-14 00:03:24.604000000
2946,2023-09-14 00:03:24.591000000
1269,2023-09-14 00:03:24.582000000
3183,2023-09-14 00:03:24.579000000
1408,2023-09-14 00:03:24.578000000
2151,2023-09-14 00:03:24.571000000
1111,2023-09-14 00:03:24.571000000
2896,2023-09-14 00:03:24.557000000
2461,2023-09-14 00:03:24.525000000
3295,2023-09-14 00:03:24.524000000
2576,2023-09-14 00:03:24.493000000
3071,2023-09-14 00:03:24.491000000
741,2023-09-14 00:03:24.490000000
2768,2023-09-14 00:03:24.484000000
3345,2023-09-14 00:03:24.476000000
1376,2023-09-14 00:03:24.467000000
2339,2023-09-14 00:03:24.452000000
3022,2023-09-14 00:03:24.439000000
1795,2023-09-14 00:03:24.432000000
880,2023-09-14 00:03:24.413000000
944,2023-09-14 00:03:24.410000000
2464,2023-09-14 00:03:24.407000000
1744,2023-09-14 00:03:24.376000000
1474,2023-09-14 00:03:24.370000000
2731,2023-09-14 00:03:24.362000000
2789,2023-09-14 00:03:24.359000000
1987,2023-09-14 00:03:24.346000000
2755,2023-09-14 00:03:24.335000000
3254,2023-09-14 00:03:24.335000000
1427,2023-09-14 00:03:24.327000000
2533,2023-09-14 00:03:24.319000000
560,2023-09-14 00:03:24.316000000
2624,2023-09-14 00:03:24.313000000
1281,2023-09-14 00:03:24.300000000
957,2023-09-14 00:03:24.285000000
1469,2023-09-14 00:03:24.275000000
1738,2023-09-14 00:03:24.263000000
1037,2023-09-14 00:03:24.251000000
2672,2023-09-14 00:03:24.245000000
2899,2023-09-14 00:03:24.238000000
842,2023-09-14 00:03:24.235000000
1087,2023-09-14 00:03:24.220000000
2641,2023-09-14 00:03:24.215000000
511,2023-09-14 00:03:24.214000000
2609,2023-09-14 00:03:24.214000000
2284,2023-09-14 00:03:24.214000000
1798,2023-09-14 00:03:24.209000000
322,2023-09-14 00:03:24.184000000
1083,2023-09-14 00:03:24.170000000
573,2023-09-14 00:03:24.137000000
2863,2023-09-14 00:03:24.135000000
1452,2023-09-14 00:03:24.127000000
463,2023-09-14 00:03:24.107000000
2282,2023-09-14 00:03:24.090000000
1072,2023-09-14 00:03:24.083000000
2496,2023-09-14 00:03:24.070000000
1235,2023-09-14 00:03:24.044000000
829,2023-09-14 00:03:24.041000000
2360,2023-09-14 00:03:24.040000000
1807,2023-09-14 00:03:24.040000000
2414,2023-09-14 00:03:24.031000000
479,2023-09-14 00:03:24.025000000
2077,2023-09-14 00:03:24.002000000
2598,2023-09-14 00:03:23.987000000
1453,2023-09-14 00:03:23.982000000
2230,2023-09-14 00:03:23.967000000
342,2023-09-14 00:03:23.954000000
3013,2023-09-14 00:03:23.949000000
1694,2023-09-14 00:03:23.942000000
2115,2023-09-14 00:03:23.938000000
528,2023-09-14 00:03:23.937000000
2951,2023-09-14 00:03:23.925000000
1064,2023-09-14 00:03:23.909000000
2416,2023-09-14 00:03:23.909000000
1949,2023-09-14 00:03:23.860000000
3127,2023-09-14 00:03:23.856000000
2623,2023-09-14 00:03:23.853000000
2769,2023-09-14 00:03:23.849000000
2951,2023-09-14 00:03:23.848000000
2726,2023-09-14 00:03:23.841000000
2915,2023-09-14 00:03:23.823000000
1829,2023-09-14 00:03:23.822000000
1188,2023-09-14 00:03:23.819000000
2413,2023-09-14 00:03:23.804000000
3093,2023-09-14 00:03:23.801000000
787,2023-09-14 00:03:23.759000000
685,2023-09-14 00:03:23.756000000
1904,2023-09-14 00:03:23.745000000
507,2023-09-14 00:03:23.745000000
2913,2023-09-14 00:03:23.743000000
2685,2023-09-14 00:03:23.737000000
1234,2023-09-14 00:03:23.735000000
2654,2023-09-14 00:03:23.717000000
1922,2023-09-14 00:03:23.713000000
3038,2023-09-14 00:03:23.709000000
3216,2023-09-14 00:03:23.701000000
3367,2023-09-14 00:03:23.663000000
1740,2023-09-14 00:03:23.645000000
827,2023-09-14 00:03:23.628000000
1314,2023-09-14 00:03:23.616000000
759,2023-09-14 00:03:23.615000000
2094,2023-09-14 00:03:23.613000000
2066,2023-09-14 00:03:23.599000000
691,2023-09-14 00:03:23.598000000
2468,2023-09-14 00:03:23.593000000
